Number;Usage FR;Usage EN;Usage DE
01;Wagons RIV-Europ à 2 ou 3 essieux, appartenant à la compagnie de chemin de fer;RIV-EUROP, 2-3 axles, railway-owned;<Keine Übersezung>
02;Wagons RIV-Europ à 2 ou 3 essieux, appartenant à la compagnie de chemin de fer;RIV-EUROP, 2-3 axles, railway-owned;<Keine Übersezung>
03;Wagons RIV-Europ à 2 ou 3 essieux, privés;<No translsation>;<Keine Übersezung>
04;Wagons RIV-Europ à 2 ou 3 essieux, privés;<No translsation>;<Keine Übersezung>
05;Wagons RIV-Europ à 2 ou 3 essieux, loués;<No translsation>;<Keine Übersezung>
06;Wagons RIV-Europ à 2 ou 3 essieux, loués;<No translsation>;<Keine Übersezung>
50;Service intérieur (non RIC);Domestic use only (non RIC) ;<Keine Übersezung>
51;Service international (RIC) à écartement fixe;International use (RIC), fixed gauge ;<Keine Übersezung>
94;Autres rames et automoteurs électriques;Other electric trainsets and motor cars;<Keine Übersezung>
