Number;Texte FR;Text EN;Text DE
00;120 km/h, 1000V~ 16 2/3Hz & 1500V~  50Hz & 1500V= & 3000V=;120 km/h, 1000V~  16 2/3Hz & 1500V~  50Hz & 1500V= & 3000V=;120 km/h, 1000V~ 16 2/3Hz & 1500V~ 50Hz & 1500V= & 3000V=
43;140 km/h, vapeur & 1000V~ 16 2/3Hz;140 km/h, steam & 1000V~ 16 2/3Hz;140 km/h, Dampf & 1000V~ 16 2/3Hz
44;140 km/h, vapeur & 1000V~ 16 2/3Hz;140 km/h, steam & 1000V~ 16 2/3Hz;140 km/h, Dampf & 1000V~ 16 2/3Hz
45;140 km/h, vapeur & 1000V~ 16 2/3Hz;140 km/h, steam & 1000V~ 16 2/3Hz;140 km/h, Dampf & 1000V~ 16 2/3Hz
73;160 km/h, 1000V~ 16 2/3Hz;160 km/h, 1000V~ 16 2/3Hz;160 km/h, 1000V~ 16 2/3Hz
75;160 km/h, 1000V~ 16 2/3Hz;160 km/h, 1000V~ 16 2/3Hz;160 km/h, 1000V~ 16 2/3Hz
93;200 km/h, vapeur & 1000V~ 16 2/3Hz;200 km/h, steam & 1000V~ 16 2/3Hz;200 km/h, Dampf & 1000V~ 16 2/3Hz
